Number,Package Name,Version,Description,Category
38,charset-normalizer,2.1.1,A library for normalizing a string's character set.,Unicode & Encoding
39,click-plugins,1.1.1,An extension module for click to enable registering CLI commands via setuptools entry-points.,Command Line Interfaces
40,click,8.1.4,A package for creating beautiful command line interfaces in a composable way.,Command Line Interfaces
41,cligj,0.7.2,A library for creating command line interfaces for GeoJSON.,Command Line Interfaces
42,cloudpickle,2.2.1,A library for serializing Python objects for use in distributed computing or parallel execution environments.,Data Science & ML
43,cmudict,1.0.13,"The Carnegie Mellon University Pronouncing Dictionary, a machine-readable pronunciation dictionary for North American English.",Text Processing & NLP
44,comm,0.1.3,A simple command execution library.,Command Line Interfaces
45,compressed-rtf,1.0.6,A library for decompressing RTF (Rich Text Format) documents.,File Manipulation
46,countryinfo,0.1.2,"A Python module for retrieving information about countries, ISO info and states/provinces within them.",Text Processing & NLP
47,cryptography,3.4.8,A library for cryptographic recipes and primitives in Python.,Cryptography & Security
48,cssselect2,0.7.0,"A CSS selectors engine, it parses CSS3 Selectors and translates them to XPath 1.0.",Web Development
49,cycler,0.11.0,A library for creating iterator objects for cycle-style multi-property iteration.,Data Visualization
50,cymem,2.0.7,A memory management helper for Python that allows you to reserve a block of memory and use it for whatever you want.,Data Science & ML
51,dbus-python,1.2.16,A Python binding for the D-Bus message bus system.,Networking
52,debugpy,1.6.7,An implementation of the Debug Adapter Protocol for Python.,Testing & Debugging
53,decorator,4.4.2,Better living through Python with decorators.,Web Development
54,defusedxml,0.7.1,XML bomb protection for Python stdlib modules.,Web Development
55,deprecat,2.1.1,"A library for deprecation handling (emit warnings when calling deprecated functions, methods, or accessing deprecated attributes) in Python.",Testing & Debugging
56,dill,0.3.6,A library to serialize all of Python (almost).,Data Science & ML
57,distro-info,0.23ubuntu1,Python module for getting information about distributions' releases.,Data Processing and Analysis
58,dlib,19.22.1,A toolkit for making real world machine learning and data analysis applications in C++.,Data Science & ML
59,dnspython,2.3.0,"A DNS toolkit for Python. It supports almost all record types. It can be used for queries, zone transfers, and dynamic updates.",Networking
60,docx2txt,0.8,A tool to convert Microsoft Office docx documents to equivalent text documents.,Text Processing & NLP
61,ebcdic,1.1.1,A Python package to handle EBCDIC (Extended Binary Coded Decimal Interchange Code) files.,Text Processing & NLP
62,ebooklib,0.18,A library for managing ebooks.,File Manipulation
63,einops,0.3.2,"Einstein Operations (einops) is a python package, which supports writing complex tensor transformations in a clear and intuitive way.",Data Science & ML
64,email-validator,2.0.0.post2,A module for validating email addresses.,Web Development
65,entrypoints,0.4,Discover and load entry points from installed packages.,Web Development
66,et-xmlfile,1.1.0,A library for creating large XML files.,File Manipulation
67,exceptiongroup,1.1.2,A backport of the ExceptionGroup and BaseExceptionGroup APIs for Python versions older than 3.11.,Asynchronous Programming
68,exchange-calendars,3.4,"A library that provides exchange calendars, trading schedules, for many trading venues around the world.",Data Processing and Analysis
69,executing,1.2.0,A library for determining which Python frame is executing.,Testing & Debugging
70,extract-msg,0.28.7,A Python library for extracting emails and attachments saved in Microsoft's .msg format.,Text Processing & NLP
71,faker,8.13.2,A Python package that generates fake data for you.,Data Science & ML
72,fastapi,0.92.0,"A modern, fast (high-performance), web framework for building APIs with Python 3.6+ based on standard Python type hints.",Web Development
73,fastjsonschema,2.17.1,A fast JSON schema compiler for Python.,Data Science & ML
74,fastprogress,1.0.3,"A fast, extensible progress bar for Python and Jupyter.",Data Processing and Analysis
75,ffmpeg-python,0.2.0,Python bindings for FFmpeg - with complex filtering support.,Audio & Video Processing
76,ffmpy,0.3.0,A Pythonic interface for FFmpeg/FFprobe command line.,Audio & Video Processing
77,filelock,3.12.2,A platform independent file lock in Python that supports the with-statement.,File Manipulation
78,fiona,1.8.20,A library for reading and writing geographic data files.,Geographical & Geo-spatial
79,flask-cachebuster,1.0.0,A small Flask extension for adding a cache buster by appending a timestamp to the url_for function.,Web Development
80,flask-cors,4.0.0,"A Flask extension for handling Cross Origin Resource Sharing (CORS), making cross-origin AJAX possible.",Web Development
81,flask-login,0.6.2,"Provides user session management for Flask. It handles the common tasks of logging in, logging out, and remembering users' sessions over extended periods of time.",Web Development
82,flask,2.3.2,A micro web framework written in Python. It is classified as a microframework because it does not require particular tools or libraries.,Web Development
83,folium,0.12.1,A Python library used for visualizing geospatial data. It is easy to use and yet offers several options for customization.,Geographical & Geo-spatial
84,fonttools,4.40.0,"A library for manipulating fonts, written in Python. It supports TrueType, OpenType, AFM, and some other font formats.",Text Processing & NLP
85,fpdf,1.7.2,A library that allows you to generate PDF files with pure Python.,File Manipulation
86,frozenlist,1.3.3,"A Python library that provides a list-like object that is ""frozen"", i.e., immutable.",Data Science & ML
87,future,0.18.3,A compatibility layer between Python 2 and Python 3.,Cross-platform
88,fuzzywuzzy,0.18.0,A library for string matching that uses Levenshtein Distance to calculate the differences between sequences.,Text Processing & NLP
89,gensim,4.1.0,"A library for unsupervised semantic modelling from plain text. It can be used for information retrieval, document similarity analysis, etc.",Text Processing & NLP
90,geographiclib,1.52,"A library for performing accurate arithmetic, conversion between datums, and projection of geographic coordinates.",Geographical & Geo-spatial
91,geopandas,0.10.2,A library that extends the datatypes used by pandas to allow spatial operations on geometric types.,Geographical & Geo-spatial
92,geopy,2.2.0,"A library for accessing several popular geocoding services, making it easy to locate the coordinates of addresses, cities, countries, and landmarks across the globe.",Geographical & Geo-spatial
93,gradio,2.2.15,"A library that allows you to quickly create customizable UI components around your ML model, function, or API.",Data Science & ML
94,graphviz,0.17,A Python interface for creating images that represent structural information as diagrams of abstract graphs and networks.,Data Visualization
95,gtts,2.2.3,A library and CLI tool to interface with Google Translate's text-to-speech API.,Audio & Video Processing
96,h11,0.14.0,"A pure-Python, bring-your-own-I/O implementation of HTTP/1.1.",Web Development
97,h2,4.1.0,A HTTP/2 protocol stack for Python.,Web Development
98,h5netcdf,1.1.0,An interface to netCDF4 files (a common format for sharing scientific data) using h5py.,Data Science & ML
99,h5py,3.4.0,A Pythonic interface to the HDF5 binary data format.,Data Science & ML
100,hpack,4.0.0,"An implementation of the HPACK header compression algorithm for HTTP/2, in Python.",Web Development
101,html5lib,1.1,A pure-Python library for parsing HTML and XML documents.,Web Development
102,httpcore,0.17.3,"A minimal low-level HTTP client, which does one thing: send HTTP requests directly to a based transport.",Networking
103,httptools,0.6.0,A set of tools for building HTTP services.,Web Development
104,httpx,0.24.1,"A fully featured HTTP client for Python, which provides sync and async APIs, and support for both HTTP/1.1 and HTTP/2.",Networking
105,hypercorn,0.14.3,"An ASGI server based on the sans-io hyper, h11, h2, and wsproto libraries.",Networking
106,hyperframe,6.0.1,A Python library for working with HTTP/2 frames.,Networking
107,idna,2.8,Supports the Internationalised Domain Names in Applications (IDNA) protocol as specified in RFC 5891.,Web Development
108,imageio-ffmpeg,0.4.8,A wrapper around ffmpeg command line for use in imageio.,Audio & Video Processing
109,imageio,2.31.1,A Python library that provides an easy interface to read and write a wide range of image data.,Image Processing
110,imapclient,2.1.0,"An easy-to-use, Pythonic and complete IMAP client library.",Web Development
111,imgkit,1.2.2,A Python wrapper to convert HTML to images (jpg/png/jpeg) using the webkit rendering engine and qt.,Web Development
112,importlib-metadata,6.7.0,Read metadata from Python packages.,Data Processing and Analysis
113,importlib-resources,5.12.0,A library to access resources in Python packages.,Data Processing and Analysis
114,iniconfig,2.0.0,A brain-dead simple parser for ini-style files.,File Manipulation
115,ipykernel,6.24.0,IPython Kernel for Jupyter.,Data Science & ML
116,ipython-genutils,0.2.0,A set of utility functions used by several IPython/Jupyter projects.,Data Science & ML
117,ipython,8.12.2,Productive Interactive Computing.,Data Science & ML
118,isodate,0.6.1,An ISO 8601 date/time/duration parser and formatter.,Date & Time
119,itsdangerous,2.1.2,A library to securely sign data to ensure its integrity.,Cryptography & Security
120,jax,0.2.28,A library for high-performance machine learning research.,Data Science & ML
121,jedi,0.18.2,An autocompletion/static analysis library for Python.,Text Processing & NLP
122,jinja2,3.1.2,A full-featured template engine for Python.,Web Development
123,joblib,1.3.1,A set of tools to provide lightweight pipelining in Python.,Data Science & ML
124,json5,0.9.14,A library for parsing JSON5 in Python.,Data Science & ML
125,jsonpickle,3.0.1,A library for serializing complex Python objects to JSON and vice versa.,Data Science & ML
126,jsonschema-specifications,2023.6.1,A Python package that includes the official JSON Schema Test Suite and provides a few handy tools to run it.,Data Processing and Analysis
127,jsonschema,4.18.0,An implementation of JSON Schema validation for Python.,File Manipulation
128,jupyter-client,7.4.9,Jupyter protocol implementation and client libraries.,Data Science & ML
129,jupyter-core,5.1.3,Core common functionality of Jupyter projects.,Data Science & ML
130,jupyter-server,1.23.5,A server extension for JupyterLab's notebook server.,Data Science & ML
131,jupyterlab-pygments,0.2.2,Pygments style definitions for use with JupyterLab & Jupyter Notebook.,Data Visualization
132,jupyterlab-server,2.19.0,A set of server components for JupyterLab and JupyterLab like applications.,Data Science & ML
133,jupyterlab,3.4.8,"A web-based interactive development environment for Jupyter notebooks, code, and data.",Data Science & ML
134,keras,2.6.0,"A high-level neural networks API, written in Python and capable of running on top of TensorFlow, CNTK, or Theano.",Data Science & ML
135,kerykeion,2.1.16,"A Python library for astrology that can calculate planetary positions, chart aspects, return charts, synastry, composite, Davison, and more.",Math & Statistics
136,kiwisolver,1.4.4,A fast implementation of the Cassowary constraint solver.,Math & Statistics
137,korean-lunar-calendar,0.3.1,A converter between Gregorian calendar dates and Korean lunar calendar dates.,Date & Time
138,librosa,0.8.1,A Python package for music and audio analysis.,Audio & Video Processing
139,llvmlite,0.40.1,A lightweight LLVM python binding for writing JIT compilers.,Data Science & ML
140,loguru,0.5.3,A library which aims to bring enjoyable logging in Python.,Testing & Debugging
141,lxml,4.9.3,A library for processing XML and HTML in Python.,Web Development
142,markdown2,2.4.9,A fast and complete implementation of Markdown in Python,Text Processing & NLP
143,markdownify,0.9.3,Converts HTML to Markdown.,Text Processing & NLP
144,markupsafe,2.1.3,Implements a XML/HTML/XHTML Markup safe string for Python.,Web Development
145,matplotlib-inline,0.1.6,A Matplotlib backend for Jupyter notebooks.,Data Visualization
146,matplotlib-venn,0.11.6,Functions for plotting area-proportional two- and three-way Venn diagrams in matplotlib.,Data Visualization
147,matplotlib,3.4.3,A Python 2D plotting library which produces publication quality figures in a variety of hardcopy formats and interactive environments.,Data Visualization
148,mistune,3.0.1,The fastest markdown parser in pure Python.,Text Processing & NLP
149,mizani,0.9.2,"A port of the R package ""mizani"", a plotting library based on the grammar of graphics.",Data Visualization
150,mne,0.23.4,MNE is a software package for processing magnetoencephalography (MEG) and electroencephalography (EEG) data.,Math & Statistics
151,monotonic,1.6,This module provides a monotonic() function which returns the value (in fractional seconds) of a clock which never goes backwards.,Date & Time
152,moviepy,1.0.3,"MoviePy is a Python module for video editing, which can be used for basic operations (like cuts, concatenations, title insertions), video compositing (a.k.a. non-linear editing), video processing, or to create advanced effects.",Audio & Video Processing
153,mpmath,1.3.0,mpmath is a free (BSD licensed) Python library for real and complex floating-point arithmetic with arbitrary precision.,Math & Statistics
154,mtcnn,0.1.1,"Multi-task Cascaded Convolutional Networks for Face Detection, based on TensorFlow.",Data Science & ML
155,multidict,6.0.4,Multidict is a dictionary like containers for multidict and CIMultiDict data structures.,Web Development
156,munch,4.0.0,"Munch is a subclass of dict that supports attribute-style access, a la JavaScript.",Data Processing and Analysis
157,murmurhash,1.0.9,Bindings for MurmurHash.,Cryptography & Security
158,mutagen,1.45.1,Mutagen is a Python module to handle audio metadata.,Audio & Video Processing
159,nashpy,0.0.35,Nashpy is a library for the computation of Nash equilibria in 2 player games.,Data Processing and Analysis
160,nbclassic,1.0.0,Jupyter Notebook as a Jupyter Server extension.,Data Science & ML
161,nbclient,0.8.0,A client library for executing notebooks.,Data Science & ML
162,nbconvert,7.6.0,Converting Jupyter Notebooks.,Data Science & ML
163,nbformat,5.9.0,The reference implementation of the Jupyter Notebook format.,Data Science & ML
164,nest-asyncio,1.5.6,Patch asyncio to allow nested event loops.,Asynchronous Programming
165,networkx,2.6.3,Python package for creating and manipulating complex networks.,Networking
166,nltk,3.6.3,Natural Language Toolkit.,Text Processing & NLP
167,notebook-shim,0.2.3,A package that provides a compatibility shim for Jupyter notebooks that use Python 2.7. This allows notebooks that were written in Python 2.7 to be run in Python 3 without any changes.,Data Science & ML
168,notebook,6.5.1,A web-based notebook environment for interactive computing.,Data Science & ML
169,numba,0.57.1,Compiling Python code using LLVM.,Data Science & ML
170,numexpr,2.8.4,Fast numerical expression evaluator for NumPy.,Data Science & ML
171,numpy-financial,1.0.0,Financial functions for NumPy.,Data Science & ML
172,numpy,1.21.2,NumPy is the fundamental package for array computing with Python.,Data Science & ML
173,odfpy,1.4.1,Python API and tools to manipulate OpenDocument files.,File Manipulation
174,olefile,0.46,"Python package to parse, read and write Microsoft OLE2 files.",File Manipulation
175,opencv-python,4.5.2.54,Wrapper package for OpenCV python bindings.,Image Processing
176,openpyxl,3.0.10,A Python library to read/write Excel 2010 xlsx/xlsm files.,File Manipulation
177,opt-einsum,3.3.0,Optimizing numpys einsum function.,Data Processing and Analysis
178,orjson,3.9.1,"Fast, correct Python JSON library supporting dataclasses, datetimes, and numpy.",Data Processing and Analysis
179,packaging,23.1,Core utilities for Python packages.,Data Processing and Analysis
180,pandas,1.3.2,"Powerful data structures for data analysis, time series, and statistics.",Data Science & ML
181,pandocfilters,1.5.0,Utilities for writing pandoc filters in Python.,Text Processing & NLP
182,paramiko,3.2.0,SSH2 protocol library.,Networking
183,parso,0.8.3,A Python parser that supports error recovery and round-trip parsing for different Python versions.,Text Processing & NLP
184,pathy,0.10.2,A pathlib extension for cloud storage services.,File Manipulation
185,patsy,0.5.3,"A Python library for describing statistical models (especially linear models, or models that have a linear component) and building design matrices.",Data Processing and Analysis
186,pdf2image,1.16.3,A python (3.6+) module that wraps pdftoppm and pdftocairo to convert PDF to a PIL Image object.,Image Processing
187,pdfkit,0.6.1,Simple wrapper for wkhtmltopdf to PDF using Python.,File Manipulation
188,pdfminer.six,20200517,Python PDF parser and analyzer.,Text Processing & NLP
189,pdfplumber,0.5.28,"Plumb a PDF for detailed information about each char, rectangle, line, et cetera — and easily extract text and tables.",Text Processing & NLP
190,pdfrw,0.4,PDF file reader/writer library.,File Manipulation
191,pexpect,4.8.0,Pexpect makes Python a better tool for controlling other applications.,Command Line Interfaces
192,pickleshare,0.7.5,Tiny 'shelve'-like database with concurrency support.,Data Processing and Analysis
193,pillow,8.3.2,The friendly Python Imaging Library fork (PIL).,Image Processing
194,pip,20.0.2,The Python package installer.,Command Line Interfaces
195,pkgutil-resolve-name,1.3.10,A package that provides a function for resolving the absolute path of a package given its name. This can be useful for finding the location of packages that are installed in non-standard locations.,Cross-platform
196,platformdirs,3.8.0,Python module for determining appropriate platform-specific dirs.,Cross-platform
197,plotly,5.3.0,"An interactive, open-source, and browser-based graphing library for Python.",Data Visualization
198,plotnine,0.10.1,A grammar of graphics for Python.,Data Visualization
199,pluggy,1.2.0,A plugin manager mentored by pytest-dev.,Testing & Debugging
200,pooch,1.7.0,A Python package for managing and downloading sample data files.,Data Processing and Analysis
201,preshed,3.0.8,Cython hash table that trusts the keys are pre-hashed.,Math & Statistics
202,priority,2.0.0,A pure-Python implementation of the HTTP/2 priority tree.,Web Development
203,proglog,0.1.10,A tiny library for logging progress in long computations.,Testing & Debugging
204,prometheus-client,0.17.0,Python client for the Prometheus monitoring system.,Cross-platform
205,prompt-toolkit,3.0.39,Library for building powerful interactive command lines in Python.,Command Line Interfaces
206,pronouncing,0.2.0,Simple interface for the CMU Pronouncing Dictionary.,Text Processing & NLP
207,psutil,5.9.5,Cross-platform lib for process and system monitoring in Python.,Networking
208,ptyprocess,0.7.0,Run a subprocess in a pseudo terminal.,Cross-platform
209,pure-eval,0.2.2,Safely evaluate an expression node or a string containing a Python literal or expression.,Data Processing and Analysis
210,py,1.11.0,"Library with cross-python path, ini-parsing, io, code, log facilities.",Testing & Debugging
211,pyaudio,0.2.11,"PyAudio provides Python bindings for PortAudio, the cross-platform audio I/O library.",Audio & Video Processing
212,pycountry,20.7.3,"ISO country, subdivision, language, currency and script definitions and their translations.",Text Processing & NLP
213,pycparser,2.21,C parser in Python.,Text Processing & NLP
214,pycryptodome,3.18.0,A self-contained cryptographic library for Python.,Cryptography & Security
215,pydantic,1.8.2,Data validation and settings management using python type annotations.,Data Processing and Analysis
216,pydot,1.4.2,Python interface to Graphviz's Dot language.,Data Visualization
217,pydub,0.25.1,Manipulate audio with an simple and easy high level interface.,Audio & Video Processing
218,pydyf,0.7.0,A pure python library to create PDF.,File Manipulation
219,pygments,2.15.1,Pygments is a syntax highlighting package written in Python.,Testing & Debugging
220,pygobject,3.36.0,Python bindings for the GObject introspection libraries.,Data Processing and Analysis
221,pygraphviz,1.7,Python interface to Graphviz.,Data Visualization
222,pylog,1.1,A package that provides a simple logging framework for Python. It is designed to be easy to use and to provide a consistent logging experience across different Python versions.,Testing & Debugging
223,pyluach,2.2.0,Pythonic access to Jewish calendrical calculations.,Date & Time
224,pymc3,3.11.5,Probabilistic Programming in Python: Bayesian Modeling and Probabilistic Machine Learning with Aesara.,Data Science & ML
225,pymupdf,1.19.6,Python bindings for the PDF processing library MuPDF.,File Manipulation
226,pynacl,1.5.0,Python binding to the Networking and Cryptography (NaCl) library.,Cryptography & Security
227,pypandoc,1.6.3,Thin wrapper for pandoc.,Text Processing & NLP
228,pyparsing,3.1.0,"Create and execute simple grammars, from Python.",Text Processing & NLP
229,pypdf2,1.28.6,PDF processing in Python.,File Manipulation
230,pyphen,0.14.0,Pure Python module to hyphenate text.,Text Processing & NLP
231,pyproj,3.5.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,Geographical & Geo-spatial
232,pyprover,0.5.6,A theorem proving library in Python.,Math & Statistics
233,pyshp,2.1.3,Pure Python read/write support for ESRI Shapefile format.,Geographical & Geo-spatial
234,pyswisseph,2.10.3.2,Python extension to the Swiss Ephemeris.,Math & Statistics
235,pytesseract,0.3.8,Python-tesseract is an optical character recognition (OCR) tool for python.,Text Processing & NLP
236,pytest,6.2.5,Python testing tool with automatic discovery of test cases.,Testing & Debugging
237,pyth3,0.7,A package that provides a compatibility shim for Python 3. This allows Python 2.7 code to be run in Python 3 without any changes.,Cross-platform
238,python-apt,2.0.1+ubuntu0.20.4.1,Python interface to libapt-pkg.,Data Processing and Analysis
239,python-dateutil,2.8.2,Extensions to the standard Python datetime module.,Date & Time
240,python-docx,0.8.11,"Creates, reads, updates, and deletes Microsoft Word (.docx) files.",File Manipulation
241,python-dotenv,1.0.0,Add .env support to your django/flask apps in development and deployments.,Web Development
242,python-multipart,0.0.6,A python multipart/form-data parser.,Data Processing and Analysis
243,python-pptx,0.6.21,Python library for creating and updating PowerPoint (.pptx) files.,File Manipulation
244,pyttsx3,2.9,A text-to-speech conversion library in Python.,Audio & Video Processing
245,pytz,2023.3,"World timezone definitions, modern and historical.",Date & Time
246,pywavelets,1.4.1,"PyWavelets, wavelet transform module.",Data Science & ML
247,pyxlsb,1.0.8,Python library to read Excel .xlsb files.,File Manipulation
248,pyyaml,6,YAML parser and emitter for Python.,Data Science & ML
249,pyzbar,0.1.8,Read one-dimensional barcodes and QR codes from Python 2 and 3.,Data Processing and Analysis
250,pyzmq,25.1.0,Python bindings for 0MQ.,Networking
251,qrcode,7.3,Python QR Code image generator.,Image Processing
252,rarfile,4,RAR archive reader for Python.,File Manipulation
253,rasterio,1.2.10,Fast and direct raster I/O for use with Numpy and SciPy.,Image Processing
254,rdflib,6.0.0,"RDFLib is a Python library for working with RDF, a simple yet powerful language for representing information.",Math & Statistics
255,referencing,0.29.1,"A package that provides a number of functions for working with references in Python. This includes functions for creating, resolving, and comparing references.",Text Processing & NLP
256,regex,2023.6.3,"Alternative regular expression module, to replace re.",Text Processing & NLP
257,reportlab,3.6.1,The Reportlab Toolkit.,Text Processing & NLP
258,requests-unixsocket,0.2.0,Use requests to talk HTTP via a UNIX domain socket.,Web Development
259,requests,2.31.0,Python HTTP for Humans.,Networking
260,resampy,0.4.2,Efficient sample rate conversion in Python.,Data Science & ML
261,rpds-py,0.8.8,Persistent data structures for Python.,Math & Statistics
262,scikit-image,0.18.3,Image processing in Python.,Image Processing
263,scikit-learn,1,A set of python modules for machine learning and data mining.,Data Science & ML
264,scipy,1.7.3,"SciPy is open-source software for mathematics, science, and engineering.",Math & Statistics
265,seaborn,0.11.2,Seaborn is a Python visualization library based on matplotlib. It provides a high-level interface for drawing attractive statistical graphics.,Data Visualization
266,semver,3.0.1,Python helper for Semantic Versioning (http://semver.org/),Cross-platform
267,send2trash,1.8.2,Send file or directories to the Trash or Recycle Bin in a cross-platform manner.,File Manipulation
268,sentencepiece,0.1.99,Unsupervised text tokenizer for Neural Network-based text generation.,Text Processing & NLP
269,setuptools,45.2.0,"Easily download, build, install, upgrade, and uninstall Python packages.",File Manipulation
270,shap,0.39.0,A unified approach to explain the output of any machine learning model.,Data Science & ML
271,shapely,1.7.1,"Geometric objects, predicates, and operations.",Geographical & Geo-spatial
272,six,1.14.0,Python 2 and 3 compatibility utilities.,Cross-platform
273,slicer,0.0.7,Tool to make it easy to use software that slices.,File Manipulation
274,smart-open,6.3.0,"Utils for streaming large files (S3, HDFS, gzip, bz2...).",File Manipulation
275,sniffio,1.3.0,Sniff out which async library your code is running under.,Asynchronous Programming
276,snuggs,1.4.7,Snuggs are s-expressions for Numpy.,Data Processing and Analysis
277,sortedcontainers,2.4.0,"Sorted Containers -- Sorted List, Sorted Dict, Sorted Set.",Data Science & ML
278,soundfile,0.10.2,Read and write sound files.,Audio & Video Processing
279,soupsieve,2.4.1,A CSS selector library for BeautifulSoup.,Web Development
280,spacy-legacy,3.0.12,spaCy legacy support utilities.,Text Processing & NLP
281,spacy,3.1.7,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,Text Processing & NLP
282,speechrecognition,3.8.1,"Library for performing speech recognition, with support for several engines and APIs, online and offline.",Audio & Video Processing
283,srsly,2.4.6,Modern high-performance serialization utilities for Python.,Data Processing and Analysis
284,stack-data,0.6.2,A library for inspecting the python call stack.,Testing & Debugging
285,starlette,0.25.0,"Starlette is a lightweight ASGI framework/toolkit, ideal for building high performance asyncio services.",Web Development
286,statsmodels,0.12.2,Statistical computations and models for Python.,Math & Statistics
287,svglib,1.1.0,A pure-Python library for reading SVG files and converting them (to a reasonable degree) to other formats using the ReportLab Open Source toolkit.,Image Processing
288,svgwrite,1.4.1,A Python library to create SVG drawings.,Image Processing
289,sympy,1.8,A Python library for symbolic mathematics.,Math & Statistics
290,tables,3.6.1,Hierarchical datasets for Python.,Data Science & ML
291,tabula,1.0.5,"Simple wrapper for tabula-java, read tables from PDF into DataFrame.",Data Processing and Analysis
292,tabulate,0.8.9,"Pretty-print tabular data in Python, a library and a command-line utility.",Data Processing and Analysis
293,tenacity,8.2.2,Tenacity is a Python library for retrying code block on exceptions with configurable stop strategies and wait strategies.,Testing & Debugging
294,terminado,0.17.1,Terminals served to xterm.js using Tornado websockets.,Asynchronous Programming
295,text-unidecode,1.3,The most basic Text::Unidecode port.,Unicode & Encoding
296,textblob,0.15.3,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation, and more.",Text Processing & NLP
297,textract,1.6.4,"Extract text from any document, a wrapper for pdftotext from xpdf, antiword, and others.",Text Processing & NLP
298,theano-pymc,1.1.2,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs.,Data Science & ML
299,thinc,8.0.17,"A refreshing functional take on deep learning, compatible with your favorite libraries.",Data Science & ML
300,threadpoolctl,3.1.0,Threadpool info and control.,Data Processing and Analysis
301,tifffile,2023.7.4,Read and write TIFF(r) files.,File Manipulation
302,tinycss2,1.2.1,A low-level CSS parser and generator.,Web Development
303,toml,0.10.2,"Python Library for Tom's Obvious, Minimal Language.",Command Line Interfaces
304,tomli,2.0.1,"A minimal, spec-compliant, and safe TOML parser.",Command Line Interfaces
